SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Predicted_Churn,CustomerID
0,0,0,3.970291913552122,1,1,0,1,0,0,0,0,1,4.396915247167632,1,0,1,0,0,0,1,0,5343-SGUBI
0,1,1,3.5263605246161616,1,1,0,0,0,0,0,0,0,3.228826155721369,0,1,0,0,0,0,0,0,5442-BXVND
0,1,1,2.3978952727983707,0,0,1,1,1,1,0,1,0,4.001863709427935,0,0,0,1,1,0,0,0,6434-TTGJP
0,0,0,0.6931471805599453,1,0,0,1,0,0,0,1,1,4.454347296253507,1,0,0,0,0,1,0,0,1628-BIZYP
0,1,1,3.970291913552122,0,0,0,1,1,1,1,0,0,3.9357395320454622,0,0,0,1,0,0,1,0,0298-XACET
1,0,0,2.833213344056216,1,1,0,0,0,0,1,1,1,4.578826210648489,1,0,0,0,0,1,0,0,8245-UMPYT
0,1,0,2.9444389791664403,1,0,0,0,0,1,0,0,1,3.937690752176724,0,0,0,0,0,0,1,0,5366-OBVMR
0,1,1,4.1588830833596715,1,1,1,1,1,1,1,1,1,4.504244267398131,0,0,0,1,1,0,0,0,1187-WILMM
1,1,1,3.2188758248682006,1,1,1,0,0,0,0,0,1,4.392595586023115,1,0,0,0,0,1,0,0,0537-QYZZN
0,0,0,2.302585092994046,1,0,1,0,0,0,0,0,1,4.328757705794541,1,0,0,0,0,1,0,0,8778-LMWTJ
0,0,0,0.6931471805599453,1,1,0,0,0,0,1,0,1,4.449685283147696,1,0,0,0,0,1,0,0,4912-PIGUY
0,1,0,3.8501476017100584,0,0,1,0,1,1,0,0,0,3.7232808808312687,0,0,0,1,1,0,0,0,9674-EHPPG
1,0,0,3.295836866004329,1,0,0,0,0,0,1,1,1,4.524502282920636,1,0,0,0,0,1,0,0,6712-OAWRH
0,0,0,0.6931471805599453,1,0,0,0,0,0,0,0,1,3.0106208860477417,0,1,0,0,0,0,1,0,4667-OHGKG
0,1,1,4.23410650459726,1,0,1,1,1,0,1,1,1,4.665794807804526,1,0,0,1,0,0,0,0,4378-MYPGO
0,0,0,3.6375861597263857,1,1,1,0,0,0,1,0,1,4.523417684115833,1,0,0,0,0,1,0,0,9576-SYUHJ
0,1,0,3.9318256327243257,1,1,1,0,1,0,1,1,1,4.653484046266642,1,0,1,0,0,1,0,0,8033-VCZGH
0,0,0,3.6109179126442243,1,0,0,1,0,0,1,1,1,4.562262684976814,1,0,0,0,1,0,0,0,7982-VCELR
0,0,0,1.6094379124341003,1,0,0,0,0,0,0,0,0,3.0421386463681466,0,1,1,0,0,0,1,0,5619-XZZKR
1,0,0,2.70805020110221,1,0,0,0,0,0,1,1,0,4.515792374836875,1,0,0,0,1,0,0,0,1236-WFCDV
1,1,1,0.6931471805599453,1,0,0,0,0,1,0,0,1,3.917010546939185,0,0,0,0,1,0,0,0,9661-MHUMO
1,0,0,4.290459441148391,1,1,0,1,1,1,1,1,0,4.724285666878253,1,0,0,1,0,1,0,0,2469-DTSGX
0,1,1,2.0794415416798357,0,0,1,0,1,1,0,1,0,3.9249392306946924,0,0,0,1,1,0,0,0,7021-XSNYE
0,0,0,2.5649493574615367,1,0,0,0,0,0,0,0,0,3.0492730404820207,0,1,0,0,0,0,1,0,9367-TCUYN
0,1,1,3.1780538303479458,1,0,0,1,1,1,0,0,0,4.440295542797857,1,0,0,0,0,1,0,0,0461-CVKMU
0,1,0,3.8066624897703196,0,0,0,1,1,0,1,1,0,4.012772908528289,0,0,0,1,0,0,0,0,7191-ADRGF
0,0,0,3.9318256327243257,1,0,0,0,1,1,0,1,1,4.507557357121091,1,0,0,1,0,0,0,0,4137-JOPHL
0,1,1,3.5553480614894135,1,0,0,0,0,0,0,0,1,3.0492730404820207,0,1,1,0,0,0,0,0,1776-SPBWV
0,1,1,3.4657359027997265,1,1,0,1,0,1,1,1,0,4.401216329067023,0,0,0,1,0,0,0,0,2245-ADZFJ
0,0,0,3.2188758248682006,1,1,0,0,1,0,1,0,1,4.499253960396542,1,0,0,0,1,0,0,0,0581-MDMPW
0,0,0,1.791759469228055,1,1,0,0,0,0,1,0,1,4.442651256490317,1,0,0,0,0,1,0,0,8739-XNIKG
1,1,0,2.9444389791664403,1,0,1,0,0,0,0,1,1,4.096009841541162,0,0,0,0,1,0,0,0,2195-VVRJF
1,1,0,4.189654742026425,1,1,0,1,1,0,1,1,1,4.69866052907543,1,0,0,0,0,0,0,0,3761-FLYZI
0,0,0,3.1780538303479458,1,0,0,0,0,0,0,0,0,3.084200921541599,0,1,0,0,0,1,0,0,2958-NHPPS
0,0,0,1.0986122886681098,1,1,0,0,0,0,0,0,1,4.337944122103693,1,0,0,0,0,1,0,0,7817-BOQPW
0,1,1,2.9444389791664403,1,0,1,0,1,0,1,0,1,4.487512142519859,1,0,0,0,0,0,1,0,4660-IRIBM
0,1,1,2.8903717578961645,1,0,0,0,1,1,1,1,0,4.601162164590552,1,0,1,0,0,0,0,0,9254-RBFON
1,1,1,2.70805020110221,1,1,0,0,0,0,1,1,1,4.572646994282532,1,0,0,0,0,1,0,0,0916-QOFDP
0,1,1,2.6390573296152584,1,1,0,0,0,0,0,0,1,3.258096538021482,0,1,0,1,0,0,0,0,7996-BPXHY
0,1,1,3.367295829986474,1,0,1,0,0,0,0,1,1,4.429029488269218,1,0,1,0,0,0,0,0,6421-SZVEM
0,0,0,4.07753744390572,1,1,0,0,0,0,0,0,0,3.232778730037192,0,1,0,1,1,0,0,0,8361-LBRDI
0,0,0,4.110873864173311,1,0,0,0,0,0,0,0,0,3.0726933146901194,0,1,0,1,0,0,1,0,2525-GVKQU
0,1,0,3.912023005428146,0,0,0,1,0,0,1,1,0,3.9249392306946924,0,0,0,1,1,0,0,0,1936-CZAKF
0,0,0,1.0986122886681098,1,0,0,0,0,0,1,1,1,4.515245478460105,1,0,0,0,0,1,0,0,2034-GDRCN
0,0,0,3.295836866004329,1,0,1,0,1,1,0,1,1,4.573163389853005,1,0,1,0,0,0,0,0,9909-DFRJA
